   0.00000000000000e+00   4.63121406062617e-02   2.50000000000000e-01
   3.03030303030303e-02   7.05077943097820e-02   2.57574598192569e-01
   6.06060606060606e-02   9.50327465693770e-02   2.65142241363485e-01
   9.09090909090909e-02   1.19842735051936e-01   2.72695980877218e-01
   1.21212121212121e-01   1.44893893854805e-01   2.80228880864623e-01
   1.51515151515152e-01   1.70143101359255e-01   2.87734024591481e-01
   1.81818181818182e-01   1.95548300878811e-01   2.95204520809462e-01
   2.12121212121212e-01   2.21068788185741e-01   3.02633510083698e-01
   2.42424242424242e-01   2.46665460460290e-01   3.10014171091135e-01
   2.72727272727273e-01   2.72301021760292e-01   3.17339726883900e-01
   3.03030303030303e-01   2.97940140780613e-01   3.24603451111910e-01
   3.33333333333333e-01   3.23549557480142e-01   3.31798674199038e-01
   3.63636363636364e-01   3.49098136104551e-01   3.38918789467133e-01
   3.93939393939394e-01   3.74556863217539e-01   3.45957259202298e-01
   4.24242424242424e-01   3.99898790550401e-01   3.52907620657842e-01
   4.54545454545455e-01   4.25098923757491e-01   3.59763491988390e-01
   4.84848484848485e-01   4.50134059484116e-01   3.66518578109724e-01
   5.15151515151515e-01   4.74982574470226e-01   3.73166676478941e-01
   5.45454545454545e-01   4.99624171684796e-01   3.79701682789657e-01
   5.75757575757576e-01   5.24039589670502e-01   3.86117596576996e-01
   6.06060606060606e-01   5.48210282339199e-01   3.92408526727241e-01
   6.36363636363636e-01   5.72118077363474e-01   3.98568696887072e-01
   6.66666666666667e-01   5.95744822030430e-01   4.04592450767434e-01
   6.96969696969697e-01   6.19072025938297e-01   4.10474257337161e-01
   7.27272727272727e-01   6.42080510205020e-01   4.16208715901586e-01
   7.57575757575758e-01   6.64750072905905e-01   4.21790561061481e-01
   7.87878787878788e-01   6.87059180252872e-01   4.27214667547760e-01
   8.18181818181818e-01   7.08984692564378e-01   4.32476054927518e-01
   8.48484848484849e-01   7.30501633351053e-01   4.37569892177089e-01
   8.78787878787879e-01   7.51583008863503e-01   4.42491502117896e-01
   9.09090909090909e-01   7.72199684230094e-01   4.47236365711064e-01
   9.39393939393939e-01   7.92320320878557e-01   4.51800126206810e-01
   9.69696969696970e-01   8.11911378321770e-01   4.56178593144825e-01
   1.00000000000000e+00   8.30937181642318e-01   4.60367746201974e-01
   1.03030303030303e+00   8.49360054189816e-01   4.64363738883765e-01
